Época 13: d_loss = 1.3353, g_loss = 0.6890
Época 13: d_loss = 1.0115, g_loss = 0.6931
Época 14: d_loss = 1.0956, g_loss = 0.6931
Época 23: d_loss = 1.0633, g_loss = 0.6931
Época 24: d_loss = 1.0820, g_loss = 0.6931
Época 14: d_loss = 1.0940, g_loss = 0.6931
Época 15: d_loss = 1.0545, g_loss = 0.6931
Época 14: d_loss = 1.2210, g_loss = 0.6868
Época 12: d_loss = 1.2078, g_loss = 0.6830
Época 25: d_loss = 1.0702, g_loss = 0.6931
Época 15: d_loss = 1.0819, g_loss = 0.6931
Época 15: d_loss = 1.0419, g_loss = 0.6931
Época 15: d_loss = 1.1375, g_loss = 0.6850
Época 26: d_loss = 1.0895, g_loss = 0.6931
Época 13: d_loss = 1.0568, g_loss = 0.6774
Época 15: d_loss = 1.0775, g_loss = 0.6931
Época 16: d_loss = 1.0955, g_loss = 0.6931
Época 26: d_loss = 1.0489, g_loss = 0.6931
Época 15: d_loss = 1.1651, g_loss = 0.6926
Época 27: d_loss = 1.0813, g_loss = 0.6931
Época 16: d_loss = 1.0544, g_loss = 0.6931
Época 14: d_loss = 1.1756, g_loss = 0.6931
Época 17: d_loss = 1.0335, g_loss = 0.6931
Época 28: d_loss = 1.0479, g_loss = 0.6931
Época 16: d_loss = 1.1190, g_loss = 0.6855
Época 17: d_loss = 1.0616, g_loss = 0.6931
Época 18: d_loss = 1.1412, g_loss = 0.6931
Época 29: d_loss = 1.0633, g_loss = 0.6931
Época 15: d_loss = 1.1089, g_loss = 0.6931
Época 29: d_loss = 1.0530, g_loss = 0.6931
Época 18: d_loss = 1.0649, g_loss = 0.6931
Época 18: d_loss = 1.0887, g_loss = 0.6931
Época 17: d_loss = 1.0925, g_loss = 0.6931
Época 30: d_loss = 1.0985, g_loss = 0.6931
Época 15: d_loss = 1.3865, g_loss = 0.6931
Época 18: d_loss = 1.0841, g_loss = 0.6931
Época 19: d_loss = 1.0764, g_loss = 0.6931
Época 31: d_loss = 1.0888, g_loss = 0.6931
Época 18: d_loss = 1.0691, g_loss = 0.6931
Época 32: d_loss = 1.0566, g_loss = 0.6931
Época 19: d_loss = 1.0393, g_loss = 0.6931
Época 20: d_loss = 1.0920, g_loss = 0.6931
Época 16: d_loss = 1.3520, g_loss = 0.6931
Época 18: d_loss = 1.2814, g_loss = 0.6899
Época 33: d_loss = 1.0674, g_loss = 0.6931
Época 20: d_loss = 1.0998, g_loss = 0.6931
Época 21: d_loss = 1.0859, g_loss = 0.6931
Época 33: d_loss = 1.0928, g_loss = 0.6931
Época 17: d_loss = 1.0600, g_loss = 0.6931
Época 19: d_loss = 1.3863, g_loss = 0.6931
Época 34: d_loss = 1.0595, g_loss = 0.6931
Época 21: d_loss = 1.0558, g_loss = 0.6931
Época 22: d_loss = 1.0476, g_loss = 0.6931
Época 35: d_loss = 1.0604, g_loss = 0.6931
Época 22: d_loss = 1.1314, g_loss = 0.6931
Época 18: d_loss = 1.2844, g_loss = 0.6931
Época 22: d_loss = 1.0259, g_loss = 0.6931
Época 20: d_loss = 1.3863, g_loss = 0.6931
Época 36: d_loss = 1.0887, g_loss = 0.6931
Época 36: d_loss = 1.0719, g_loss = 0.6931
Época 22: d_loss = 1.1146, g_loss = 0.6931
Época 23: d_loss = 1.0490, g_loss = 0.6931
Época 18: d_loss = 1.1808, g_loss = 0.6931
Época 37: d_loss = 1.1192, g_loss = 0.6931
Época 21: d_loss = 1.3863, g_loss = 0.6931
